,Artículo@LITM,Artículo@Descripcion,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Pallets Solicitados,Cajas Solicitadas
113,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661177,326701,3.0,780.0
114,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661198,274749,0.153846,40.0
115,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661199,274749,0.153846,40.0
116,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661282,327955,0.161538,42.0
117,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661344,241245,0.1875,45.0
118,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",SD,661351,226806,1.7,442.0
119,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,660732,335698,0.375,54.0
120,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,660858,274066,2.0,288.0
121,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661048,284817,5.25,756.0
122,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661067,331183,1.0,144.0
123,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661123,261777,1.0,144.0
124,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661177,326701,3.0,432.0
125,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661198,274749,0.25,36.0
126,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661199,274749,0.25,36.0
127,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661201,241180,0.9375,135.0
128,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661282,327955,0.347222,50.0
129,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661345,241245,24.0,3024.0
130,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661347,241245,15.68254,1976.0
131,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",SD,661351,226806,1.736111,250.0
132,6030010129,"MAYO,NATURA,RVL 31%,L.G,192,8 CC,SH,ST (SIN TAPA),",SD,660819,334294,0.076923,29.0
133,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,660732,335698,0.25,68.0
134,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,660819,334294,0.125,34.0
135,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,660858,274066,2.75,748.0
136,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",SD,661048,284817,1.875,510.0
137,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,660819,334294,0.2,16.0
138,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,660859,274066,0.2,16.0
139,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",SD,661039,335857,1.0,80.0
140,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,660732,335698,0.333333,36.0
141,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,661048,284817,2.166667,234.0
142,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,661177,326701,2.0,216.0
143,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,661344,241245,2.0,216.0
144,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,661346,241245,22.287037,2407.0
145,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,661347,241245,10.0,1080.0
146,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",SD,661355,232173,9.0,972.0
147,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,660377,299351,0.030769,8.0
148,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,660782,225582,0.153846,40.0
149,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,660859,274066,0.323077,84.0
150,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,660998,280890,1.0,260.0
151,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661017,225582,0.153846,40.0
152,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661021,241227,0.461538,120.0
153,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661048,284817,0.096154,25.0
154,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661065,331183,0.230769,60.0
155,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661067,331183,0.576923,150.0
156,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661167,261269,0.769231,200.0
157,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661177,326701,1.0,260.0
158,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661197,299351,0.030769,8.0
159,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661198,274749,0.023077,6.0
160,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661199,274749,0.023077,6.0
161,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661201,241180,0.076923,20.0
162,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661237,338653,0.076923,20.0
163,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661277,319406,0.153846,40.0
164,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661344,241245,5.104167,1225.0
165,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661351,226806,1.0,260.0
166,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",SD,661355,232173,1.538462,400.0
167,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",SD,661048,284817,0.25,36.0
168,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",SD,661237,338653,0.125,18.0
169,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",SD,661344,241245,0.083333,9.0
170,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",SD,661354,232173,1.736111,250.0
171,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",SD,660143,334294,0.153846,58.0
172,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",SD,660144,334294,0.076923,29.0
173,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",SD,661039,335857,0.461538,174.0
174,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",SD,661039,335857,0.25,20.0
175,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",SD,174049,284817,0.089286,20.0
176,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",SD,174108,330919,0.09375,15.0
177,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",SD,174198,223397,1.339286,300.0
178,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",SD,174198,223397,0.892857,200.0
179,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,173810,241227,0.196429,44.0
180,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,174026,365411,0.142857,32.0
181,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,174049,284817,0.401786,90.0
182,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,174088,277494,0.285714,64.0
183,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,174090,248894,0.285714,64.0
184,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,174091,289078,0.196429,44.0
185,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,174095,331183,0.142857,32.0
186,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,174198,223397,4.017857,900.0
187,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",SD,174224,241245,7.114583,1366.0
188,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,173308,241227,0.071429,16.0
189,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,173329,241227,0.035714,8.0
190,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,174195,330919,0.129464,29.0
191,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,174198,223397,0.892857,200.0
192,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",SD,174224,241245,0.78125,150.0
193,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,660735,360190,1.346154,350.0
194,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,660753,359653,0.034615,9.0
195,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,660859,274066,0.076923,20.0
196,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,661048,284817,0.076923,20.0
197,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,661237,338653,0.076923,20.0
198,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,661344,241245,2.916667,700.0
199,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",SD,661355,232173,3.846154,1000.0
200,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,659905,281096,0.136029,37.0
201,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,661034,277494,0.625,170.0
202,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,661181,363993,0.25,68.0
203,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,661237,338653,0.125,34.0
204,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",SD,661285,280862,0.125,34.0
