,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,Fecha de Vencimiento,SKU,Cajas Disponibles
57,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,253,R091023                       ,7/5/2024,6030050071               ,2042.0
58,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,254,R101023                       ,7/6/2024,6030050071               ,2016.0
59,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,255,R111023                       ,7/7/2024,6030050071               ,1728.0
60,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,257,R131023                       ,7/9/2024,6030050071               ,1872.0
61,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,261,R171023                       ,7/13/2024,6030050071               ,4320.0
62,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",144,263,R191023                       ,7/15/2024,6030050071               ,3456.0
63,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,180,R280723                       ,4/23/2024,6030050069               ,204.0
64,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,253,R091023                       ,7/5/2024,6030050069               ,2788.0
65,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,254,R101023                       ,7/6/2024,6030050069               ,6800.0
66,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,255,R111023                       ,7/7/2024,6030050069               ,7344.0
67,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,257,R131023                       ,7/9/2024,6030050069               ,7150.0
68,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,261,R171023                       ,7/13/2024,6030050069               ,8160.0
69,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,263,R191023                       ,7/15/2024,6030050069               ,5440.0
70,       CDGD,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",108,177,R250723                       ,4/20/2024,6030050072               ,720.0
71,       CDGD,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",108,225,R110923                       ,6/7/2024,6030050072               ,0.0
72,       CDGD,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",260,163,110623                        ,4/6/2024,6030040040               ,37.0
73,       CDGD,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",260,229,160823                        ,6/11/2024,6030040040               ,3.0
74,       CDGD,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",260,238,250823                        ,6/20/2024,6030040040               ,1740.0
