,Artículo@Cliente (Facturación) None,Artículo@DESC,Boca de Entrega@Cliente (Facturación) None,Boca de Entrega@DESC,Dias Mínimo
86,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239562,MAZZON ANTONIO ROQUE E.                 ,120.0
87,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239563,BRACCO Y PORTA S.A.                     ,120.0
88,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239564,LEDRI GUILLERMO SANTOS                  ,120.0
89,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239565,ESCUDERO MANUEL ALFREDO                 ,120.0
90,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239566,VISINTINI ALFREDO Y ROLANDO SH          ,120.0
91,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239672,SUCESION DE GAUNA JORGE ANDRES          ,120.0
92,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239698,HERNANDEZ HUGO                          ,120.0
93,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239729,GALARZA RUBEN ALBERTO                   ,120.0
94,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",239778,EL BUEN GUSTO SACIFIA                   ,120.0
95,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240058,TODO PARA LA GASTRONOMIA S.A.           ,120.0
96,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240409,AUT MAY DIARCO (LA RIOJA)               ,120.0
97,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240737,COBAL S.A.                              ,120.0
98,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240738,COOP.TAMBERA Y CONSUMO ELISA LTDA.      ,120.0
99,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240761,C P V  S.R.L. (NECOCHEA)                ,120.0
100,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240766,DON LEON S.A. (TRELEW)                  ,120.0
101,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240843,CARNES PACK T.L. S.A. (TREN. LAU.-ROCA) ,120.0
102,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240849,COLAVITTA SERGIO I Y ANIBAL (LIB-420)   ,120.0
103,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240864,DISTRIBUIDORA SANTA MARIA S.A. (QUILMES),120.0
104,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240866,DISTRIBUIDORA SANTA MARIA S.A.(F.VARELA),120.0
105,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",240932,REALES AGRUP. (LA PLATA-208 Y532)       ,120.0
