,Boca de Entrega@Cliente (Facturación) None,Boca de Entrega@DESC,Artículo@Cliente (Facturación) None,Artículo@DESC,Dias Mínimo
84,200561,COTAGRO COOP. AGROP.LTDA.               ,6050100007               ,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,MERCADO INT",120.0
85,200561,COTAGRO COOP. AGROP.LTDA.               ,6090020009               ,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.             ",120.0
86,202697,ROSENTAL DAVID E HIJOS SACI             ,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL                        ",90.0
87,202697,ROSENTAL DAVID E HIJOS SACI             ,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                           ",90.0
88,202697,ROSENTAL DAVID E HIJOS SACI             ,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                           ",90.0
89,202697,ROSENTAL DAVID E HIJOS SACI             ,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                           ",90.0
90,202697,ROSENTAL DAVID E HIJOS SACI             ,6010010184               ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.                           ",90.0
91,202697,ROSENTAL DAVID E HIJOS SACI             ,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.                          ",90.0
92,202697,ROSENTAL DAVID E HIJOS SACI             ,6010550008               ,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.                   ",90.0
93,202697,ROSENTAL DAVID E HIJOS SACI             ,6010570018               ,"AC,SOJOLA,SOJA,12X900ML,B,ESP,M.I.                          ",90.0
94,202697,ROSENTAL DAVID E HIJOS SACI             ,6010570019               ,"AC,SOJOLA,SOJA,12X1,5L,B,ESP,M.I.                           ",90.0
95,202697,ROSENTAL DAVID E HIJOS SACI             ,6010900001               ,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL          ",90.0
96,202697,ROSENTAL DAVID E HIJOS SACI             ,6010900017               ,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.             ",90.0
97,202697,ROSENTAL DAVID E HIJOS SACI             ,6010900024               ,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.    ",90.0
98,202697,ROSENTAL DAVID E HIJOS SACI             ,6010900028               ,"COMBO,AC.NATURA OLIVA INTENSO X,500ML,+ 1 BOLSA ECOLOGICA,ES",90.0
99,202697,ROSENTAL DAVID E HIJOS SACI             ,6010900031               ,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.                   ",90.0
100,202697,ROSENTAL DAVID E HIJOS SACI             ,6010900032               ,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.                  ",90.0
101,202697,ROSENTAL DAVID E HIJOS SACI             ,6010950016               ,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.                      ",90.0
102,202697,ROSENTAL DAVID E HIJOS SACI             ,6011270002               ,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL                 ",90.0
103,202697,ROSENTAL DAVID E HIJOS SACI             ,6011570001               ,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.                     ",90.0
104,202697,ROSENTAL DAVID E HIJOS SACI             ,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",120.0
105,202697,ROSENTAL DAVID E HIJOS SACI             ,6030010019               ,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL        ",120.0
106,202697,ROSENTAL DAVID E HIJOS SACI             ,6030010026               ,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./ARL        ",120.0
107,202697,ROSENTAL DAVID E HIJOS SACI             ,6030010170               ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",120.0
108,202697,ROSENTAL DAVID E HIJOS SACI             ,6030010208               ,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA),ESP,M.I./",120.0
109,202697,ROSENTAL DAVID E HIJOS SACI             ,6030040007               ,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL              ",120.0
110,202697,ROSENTAL DAVID E HIJOS SACI             ,6030040040               ,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL   ",120.0
111,202697,ROSENTAL DAVID E HIJOS SACI             ,6030050069               ,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",120.0
112,202697,ROSENTAL DAVID E HIJOS SACI             ,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",120.0
113,202697,ROSENTAL DAVID E HIJOS SACI             ,6030050071               ,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO   ",120.0
