,Descripción,Lote,Dias al Vencimiento,Depósito Padre,cajas_x_pallets,Fecha de Vencimiento,SKU,Cajas Disponibles
40,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",100922                        ,319,    CDCDCO1,60,9/9/2024,6010020199               ,60.0
41,"AC,MAZOLA CLA,MAIZ,12X500ML,B,ESP,M.I.",120722                        ,260,    CDCDCO1,144,7/12/2024,6010950015               ,0.0
42,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",090723                        ,623,    CDCDCF1,105,7/10/2025,6010950016               ,1917.0
43,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",120623                        ,596,    CDCDCF1,105,6/13/2025,6010950016               ,195.0
44,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",150323                        ,505,    CDCDCO1,105,3/14/2025,6010950016               ,0.0
45,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",210823                        ,666,       CDGD,105,8/22/2025,6010950016               ,2940.0
46,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",250422                        ,183,    CDCDCO1,105,4/26/2024,6010950016               ,0.0
47,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",310723                        ,644,       CDGD,105,7/31/2025,6010950016               ,6444.0
48,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",310723                        ,644,       CDVM,105,7/31/2025,6010950016               ,60.0
49,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.",310723                        ,644,    CDCDCF1,105,7/31/2025,6010950016               ,2100.0
50,"AC,MAZOLA,OLIVA VE,12X500ML,B,ESP,M.I.",220622                        ,240,    CDCDCO1,144,6/22/2024,6010960007               ,0.0
51,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.",031023                        ,710,       CDGD,185,10/5/2025,6010900033               ,3700.0
52,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",120722                        ,260,    CDCDCO1,160,7/12/2024,6010900031               ,0.0
53,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,510,       CDGD,160,3/19/2025,6010900031               ,717.0
54,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,510,       CDVM,160,3/19/2025,6010900031               ,125.0
55,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,510,    CDCDCF1,160,3/19/2025,6010900031               ,1.0
56,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,510,    CDCDCO1,160,3/19/2025,6010900031               ,0.0
57,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",160522                        ,202,    CDCDCO1,156,5/15/2024,6010900002               ,0.0
58,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",210922                        ,330,    CDCDCF1,156,9/20/2024,6010900002               ,8.0
59,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,515,       CDGD,156,3/24/2025,6010900002               ,65.0
60,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,515,       CDVM,156,3/24/2025,6010900002               ,41.0
61,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,515,    CDCDCF1,156,3/24/2025,6010900002               ,120.0
62,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",220323                        ,513,       CDVM,304,3/22/2025,6010900001               ,18.0
63,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",220323                        ,513,    CDCDCO1,304,3/22/2025,6010900001               ,0.0
64,"AC,NATURA CL,OLIVA VE,6X500ML,D(LATA),ESP,M.I./ARL",220822                        ,301,    CDCDCO1,304,8/22/2024,6010900001               ,0.0
65,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I.",071023                        ,711,       CDGD,160,10/6/2025,6010900037               ,3745.0
66,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.",120722                        ,259,       CDVM,160,7/11/2024,6010900032               ,0.0
67,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.",120722                        ,259,    CDCDCO1,160,7/11/2024,6010900032               ,0.0
68,"AC,NATURA INT,OLIVA VE,12X500ML,C,ESP,M.I.",210323                        ,511,       CDVM,160,3/20/2025,6010900032               ,68.0
69,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",210422                        ,177,    CDCDCO1,156,4/20/2024,6010900018               ,0.0
70,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,517,       CDGD,156,3/26/2025,6010900018               ,727.0
71,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250323                        ,517,       CDVM,156,3/26/2025,6010900018               ,0.0
72,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.",250822                        ,304,    CDCDCF1,156,8/25/2024,6010900018               ,104.0
73,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",060622                        ,223,    CDCDCO1,304,6/5/2024,6010900017               ,0.0
74,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.",220323                        ,512,       CDGD,304,3/21/2025,6010900017               ,234.0
75,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",010822                        ,281,    CDCDCO1,185,8/2/2024,6010900024               ,0.0
76,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",211222                        ,421,       CDVM,185,12/20/2024,6010900024               ,301.0
77,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",211222                        ,421,    CDCDCO1,185,12/20/2024,6010900024               ,185.0
78,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",240223                        ,491,       CDGD,185,2/28/2025,6010900024               ,572.0
79,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",240223                        ,491,       CDVM,185,2/28/2025,6010900024               ,1850.0
80,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ESP,M.I.",240223                        ,491,    CDCDCO1,185,2/28/2025,6010900024               ,0.0
81,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.",071023                        ,711,       CDGD,160,10/6/2025,6010900040               ,3744.0
82,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",010922                        ,310,       CDVM,60,8/31/2024,6010010007               ,0.0
83,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",010922                        ,310,    CDCDCO1,60,8/31/2024,6010010007               ,0.0
84,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",030323                        ,493,    CDCDCO1,60,3/2/2025,6010010007               ,0.0
85,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",060823                        ,648,       CDVM,60,8/4/2025,6010010007               ,40.0
86,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",060823                        ,648,      CDCAU,60,8/4/2025,6010010007               ,0.0
87,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",060823                        ,648,    CDCDCO1,60,8/4/2025,6010010007               ,0.0
88,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",061222                        ,406,    CDCDCO1,60,12/5/2024,6010010007               ,0.0
89,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",071023                        ,711,       CDGD,60,10/6/2025,6010010007               ,0.0
90,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",090822                        ,287,    CDCDCO1,60,8/8/2024,6010010007               ,0.0
91,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",110922                        ,320,    CDCDCO1,60,9/10/2024,6010010007               ,0.0
92,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",130823                        ,656,    CDCDCO1,60,8/12/2025,6010010007               ,0.0
93,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",160223                        ,478,    CDCDCO1,60,2/15/2025,6010010007               ,0.0
94,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",160923                        ,690,    CDCDCF1,60,9/15/2025,6010010007               ,98.0
95,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",160923                        ,690,    CDCDCO1,60,9/15/2025,6010010007               ,0.0
96,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",161023                        ,720,       CDGD,60,10/15/2025,6010010007               ,24060.0
97,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",161023                        ,720,       CDVM,60,10/15/2025,6010010007               ,6092.0
98,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",170423                        ,538,    CDCDCO1,60,4/16/2025,6010010007               ,0.0
99,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",170523                        ,568,    CDCDCO1,60,5/16/2025,6010010007               ,0.0
100,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",180723                        ,630,    CDCDCO1,60,7/17/2025,6010010007               ,0.0
101,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",181122                        ,387,    CDCDCO1,60,11/16/2024,6010010007               ,0.0
102,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",210623                        ,603,    CDCDCO1,60,6/20/2025,6010010007               ,0.0
103,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",210822                        ,299,    CDCDCO1,60,8/20/2024,6010010007               ,0.0
104,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",220323                        ,512,    CDCDCO1,60,3/21/2025,6010010007               ,0.0
105,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",220423                        ,543,    CDCDCO1,60,4/21/2025,6010010007               ,0.0
106,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",231122                        ,393,    CDCDCO1,60,11/22/2024,6010010007               ,0.0
107,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",240923                        ,698,       CDGD,60,9/23/2025,6010010007               ,74.0
108,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",240923                        ,698,       CDVM,60,9/23/2025,6010010007               ,30.0
109,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",240923                        ,698,    CDCDCF1,60,9/23/2025,6010010007               ,30.0
110,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",240923                        ,698,    CDCDCO1,60,9/23/2025,6010010007               ,0.0
111,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",250723                        ,637,    CDCDCO1,60,7/24/2025,6010010007               ,1.0
112,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",251022                        ,364,    CDCDCO1,60,10/24/2024,6010010007               ,0.0
113,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",270323                        ,517,    CDCDCO1,60,3/26/2025,6010010007               ,0.0
114,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",270423                        ,548,    CDCDCO1,60,4/26/2025,6010010007               ,0.0
115,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",280823                        ,671,       CDVM,60,8/27/2025,6010010007               ,39.0
116,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",280823                        ,671,    CDCDCO1,60,8/27/2025,6010010007               ,0.0
117,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",290322                        ,154,      CDLDC,60,3/28/2024,6010010007               ,0.0
118,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",290423                        ,550,      CDCAU,60,4/28/2025,6010010007               ,0.0
119,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",290423                        ,550,    CDCDCO1,60,4/28/2025,6010010007               ,0.0
