,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Pallets Solicitados,Cajas Solicitadas
76,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",274749,SD,661198,0.023077,6.0
77,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",274749,SD,661199,0.023077,6.0
78,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",225582,SD,660782,0.153846,40.0
79,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",225582,SD,661017,0.153846,40.0
80,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",261269,SD,661167,0.769231,200.0
81,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",274066,SD,660859,0.323077,84.0
82,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",319406,SD,661277,0.153846,40.0
83,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",299351,SD,660377,0.030769,8.0
84,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",299351,SD,661197,0.030769,8.0
85,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",241180,SD,661201,0.076923,20.0
86,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",241227,SD,661021,0.461538,120.0
87,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",331183,SD,661065,0.230769,60.0
88,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",331183,SD,661067,0.576923,150.0
89,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",280890,SD,660998,1.0,260.0
90,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",330919,SD,174108,0.09375,15.0
91,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",365411,SD,174026,0.142857,32.0
92,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",241227,SD,173810,0.196429,44.0
93,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",248894,SD,174090,0.285714,64.0
94,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",289078,SD,174091,0.196429,44.0
95,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",331183,SD,174095,0.142857,32.0
96,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",277494,SD,174088,0.285714,64.0
97,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",330919,SD,174195,0.129464,29.0
98,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",241227,SD,173308,0.071429,16.0
99,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",241227,SD,173329,0.035714,8.0
100,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",274066,SD,660859,0.076923,20.0
101,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",359653,SD,660753,0.034615,9.0
102,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",360190,SD,660735,1.346154,350.0
103,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",322298,SD,661364,0.018382,5.0
104,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",281096,SD,659905,0.136029,37.0
105,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",363993,SD,661181,0.25,68.0
106,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",277494,SD,661034,0.625,170.0
107,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",280862,SD,661285,0.125,34.0
