,Depósito Padre,cajas_x_pallets,SKU,Descripción,Fecha de Vencimiento,Dias al Vencimiento,Lote,Cajas Disponibles
106,       CDGD,260,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6/4/2024,222,080923                        ,179.0
107,       CDGD,260,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6/12/2024,230,160923                        ,0.0
108,       CDGD,260,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6/15/2024,233,190923                        ,0.0
109,       CDGD,260,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",6/27/2024,245,011023                        ,16960.0
110,       CDGD,260,6030010007               ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",7/1/2024,249,051023                        ,14560.0
111,       CDGD,260,6030040040               ,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",4/6/2024,163,110623                        ,37.0
112,       CDGD,260,6030040040               ,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",6/11/2024,229,160823                        ,3.0
113,       CDGD,260,6030040040               ,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",6/20/2024,238,250823                        ,1740.0
114,       CDGD,260,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",3/6/2024,132,R100623                       ,0.0
115,       CDGD,260,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",5/14/2024,201,R180823                       ,40.0
116,       CDGD,260,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",7/5/2024,253,R091023                       ,0.0
117,       CDGD,260,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",7/7/2024,255,R111023                       ,0.0
118,       CDGD,260,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",7/8/2024,256,R121023                       ,80.0
119,       CDGD,260,6030050070               ,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),ESP,MERCADO",7/13/2024,261,R171023                       ,260.0
