,Descripción,Dias al Vencimiento,Fecha de Vencimiento,Depósito Padre,Lote,cajas_x_pallets,SKU,Cajas Disponibles
96,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",538,4/16/2025,    CDCDCO1,170423                        ,60,6010010007               ,0.0
97,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",543,4/21/2025,    CDCDCO1,220423                        ,60,6010010007               ,0.0
98,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",548,4/26/2025,    CDCDCO1,270423                        ,60,6010010007               ,0.0
99,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",550,4/28/2025,      CDCAU,290423                        ,60,6010010007               ,0.0
100,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",550,4/28/2025,    CDCDCO1,290423                        ,60,6010010007               ,0.0
101,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",568,5/16/2025,    CDCDCO1,170523                        ,60,6010010007               ,0.0
102,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",603,6/20/2025,    CDCDCO1,210623                        ,60,6010010007               ,0.0
103,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",613,6/30/2025,    CDCDCO1,300623                        ,60,6010010007               ,0.0
104,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",630,7/17/2025,    CDCDCO1,180723                        ,60,6010010007               ,0.0
105,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",637,7/24/2025,    CDCDCO1,250723                        ,60,6010010007               ,1.0
106,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",642,7/29/2025,    CDCDCO1,300723                        ,60,6010010007               ,0.0
107,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",648,8/4/2025,       CDVM,060823                        ,60,6010010007               ,40.0
108,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",648,8/4/2025,      CDCAU,060823                        ,60,6010010007               ,0.0
