,Lote,Descripción,Dias al Vencimiento,cajas_x_pallets,Fecha de Vencimiento,SKU,Depósito Padre,Cajas Disponibles
105,040823                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",187,260,4/30/2024,6030010007               ,    CDCDCO1,3640.0
106,040823                        ,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",187,260,4/30/2024,6030010007               ,    CDVMZPA,18720.0
107,040823                        ,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.",157,377,3/31/2024,6050100001               ,       CDVM,180.0
108,040823                        ,"SGOLF,NATURA,192,8 CC,SH,ST,ESP,M.I.",157,377,3/31/2024,6050100001               ,    CDCDCF1,125.0
109,040923                        ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",218,377,5/31/2024,6030010129               ,       CDVM,377.0
110,040923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",218,272,5/31/2024,6030010170               ,       CDPI,13056.0
111,040923                        ,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./",218,272,5/31/2024,6030010170               ,    CDCDCO1,2448.0
112,041023                        ,"AC,CADA DIA,GIR,12X900ML,B,ESP,M.I.",715,105,10/10/2025,6010040111               ,       CDGD,110.0
113,050723                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",617,72,7/4/2025,6010010077               ,    CDCDCO1,0.0
114,050823                        ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",158,377,4/1/2024,6030010129               ,       CDGD,2291.0
115,050823                        ,"MAYO,NATURA,RVL 31%,L.G,192,8CC,SH,ST (SIN TAPA),ESP,M.I./A",158,377,4/1/2024,6030010129               ,       CDVM,5220.0
