,Depósito Padre,Descripción,SKU,Lote,Fecha de Vencimiento,cajas_x_pallets,Dias al Vencimiento,Cajas Disponibles
60,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6030050071               ,R131023                       ,7/9/2024,144,257,1872.0
61,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6030050071               ,R171023                       ,7/13/2024,144,261,4320.0
62,       CDGD,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6030050071               ,R191023                       ,7/15/2024,144,263,3456.0
63,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",6030050069               ,R091023                       ,7/5/2024,272,253,2788.0
64,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",6030050069               ,R101023                       ,7/6/2024,272,254,6800.0
65,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",6030050069               ,R111023                       ,7/7/2024,272,255,7344.0
66,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",6030050069               ,R131023                       ,7/9/2024,272,257,7150.0
67,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",6030050069               ,R171023                       ,7/13/2024,272,261,8160.0
68,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",6030050069               ,R191023                       ,7/15/2024,272,263,5440.0
69,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",6030050069               ,R280723                       ,4/23/2024,272,180,204.0
70,       CDGD,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6030050072               ,R110923                       ,6/7/2024,108,225,0.0
71,       CDGD,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",6030050072               ,R250723                       ,4/20/2024,108,177,720.0
72,       CDGD,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",6030040040               ,110623                        ,4/6/2024,260,163,37.0
73,       CDGD,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",6030040040               ,160823                        ,6/11/2024,260,229,3.0
74,       CDGD,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",6030040040               ,250823                        ,6/20/2024,260,238,1740.0
75,       CDGD,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",6030040007               ,160823                        ,6/11/2024,144,229,1039.0
76,       CDGD,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./ARL",6030040073               ,250823                        ,6/20/2024,272,238,457.0
