,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
82,335857,SD,661039,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",174.0,0.461538
83,335857,SD,661039,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",20.0,0.25
84,305223,SD,660197,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",40.0,0.153846
85,305223,SD,660197,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",18.0,0.125
86,316006,SD,174142,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",72.0,1.0
87,261138,SD,174177,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",144.0,2.0
88,261138,SD,660785,6030330001,"MAYO,CADA DIA,LIGHT,12,250 CC,DP,ST (SIN TAPA),ESP",5.0,0.019231
89,261138,SD,661287,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",20.0,0.076923
90,261138,SD,661287,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",108.0,1.0
91,242156,SD,660997,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",200.0,0.735294
92,242156,SD,660997,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",200.0,1.851852
93,242156,SD,661062,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",200.0,2.5
94,307199,SD,661310,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",48.0,0.6
95,299351,SD,660377,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",8.0,0.030769
96,299351,SD,661197,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",8.0,0.030769
97,261131,SD,174158,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",20.0,0.125
98,261131,SD,174158,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",4.0,0.025641
99,261131,SD,174158,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",19.0,0.121795
100,261131,SD,174158,6010900024,"AC,NATURA SELECCION ESPECIAL,OLIVA VE,6X500ML,E,ES",25.0,0.135135
101,338653,SD,174140,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",72.0,1.0
102,338653,SD,174140,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",50.0,1.0
103,338653,SD,174176,6010900031,"AC,NATURA CL,OLIVA VE,12X500ML,C,ESP,M.I.         ",15.0,0.09375
104,338653,SD,174176,6010900002,"AC,NATURA CL,OLIVA VE,6X1LT,D(LATA),ESP,M.I.      ",5.0,0.032051
105,338653,SD,174176,6010900018,"AC,NATURA INT,OLIVA VE,6X1LT,D(LATA),ESP,M.I.     ",5.0,0.032051
106,338653,SD,174176,6010900017,"AC,NATURA INT,OLIVA VE,6X500ML,D(LATA),ESP,M.I.   ",5.0,0.016447
107,338653,SD,661237,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",40.0,0.153846
108,338653,SD,661237,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",40.0,0.153846
109,338653,SD,661237,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",18.0,0.125
