,Depósito Padre,Descripción,cajas_x_pallets,Dias al Vencimiento,Lote,SKU,Fecha de Vencimiento,Cajas Disponibles
64,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,253,R091023                       ,6030050069               ,7/5/2024,2788.0
65,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,254,R101023                       ,6030050069               ,7/6/2024,6800.0
66,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,255,R111023                       ,6030050069               ,7/7/2024,7344.0
67,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,257,R131023                       ,6030050069               ,7/9/2024,7150.0
68,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,261,R171023                       ,6030050069               ,7/13/2024,8160.0
69,       CDGD,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),ESP,M.I./AR",272,263,R191023                       ,6030050069               ,7/15/2024,5440.0
70,       CDGD,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",108,177,R250723                       ,6030050072               ,4/20/2024,720.0
71,       CDGD,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO INTERNO",108,225,R110923                       ,6030050072               ,6/7/2024,0.0
72,       CDGD,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",260,163,110623                        ,6030040040               ,4/6/2024,37.0
73,       CDGD,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",260,229,160823                        ,6030040040               ,6/11/2024,3.0
74,       CDGD,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./ARL",260,238,250823                        ,6030040040               ,6/20/2024,1740.0
75,       CDGD,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,229,160823                        ,6030040007               ,6/11/2024,1039.0
76,       CDGD,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M.I./ARL",272,238,250823                        ,6030040073               ,6/20/2024,457.0
77,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",260,153,010723                        ,6030010007               ,3/27/2024,0.0
78,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",260,197,140823                        ,6030010007               ,5/10/2024,0.0
79,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",260,222,080923                        ,6030010007               ,6/4/2024,179.0
80,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",260,230,160923                        ,6030010007               ,6/12/2024,0.0
81,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",260,233,190923                        ,6030010007               ,6/15/2024,0.0
82,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",260,245,011023                        ,6030010007               ,6/27/2024,16960.0
83,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M.I./",260,249,051023                        ,6030010007               ,7/1/2024,14560.0
84,       CDGD,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./ARL",144,205,220823                        ,6030010019               ,5/18/2024,0.0
