,SKU,Depósito Padre,Fecha de Vencimiento,Dias al Vencimiento,Lote,Descripción,cajas_x_pallets,Cajas Disponibles
77,6010010077               ,    CDCDCO1,12/15/2024,416,161222                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
78,6010010077               ,    CDCDCO1,2/27/2025,490,280223                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
79,6010010077               ,    CDCDCO1,5/2/2025,554,030523                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
80,6010010077               ,    CDCDCO1,5/18/2025,570,190523                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
81,6010010077               ,    CDCDCO1,5/24/2025,576,230523                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
82,6010010077               ,    CDCDCO1,6/3/2025,586,040623                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
83,6010010077               ,    CDCDCO1,7/4/2025,617,050723                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
84,6010010077               ,    CDCDCO1,7/14/2025,627,150723                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
85,6010010077               ,    CDCDCO1,7/31/2025,644,010823                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
86,6010010077               ,    CDCDCO1,8/17/2025,661,180823                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,0.0
87,6010010077               ,    CDCDCO1,8/20/2025,664,210823                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,4006.0
88,6010010077               ,    CDCDCO1,9/8/2025,683,090923                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,288.0
89,6010010077               ,    CDCDCO1,9/21/2025,696,220923                        ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",72,1440.0
90,6010010112               ,       CDGD,9/10/2025,685,110923                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,26.0
91,6010010112               ,       CDGD,9/19/2025,694,190923                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,0.0
92,6010010112               ,       CDGD,9/27/2025,702,280923                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,12.0
93,6010010112               ,       CDVM,7/25/2024,273,260722                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,0.0
94,6010010112               ,       CDVM,8/28/2025,672,290823                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,42.0
95,6010010112               ,       CDVM,9/10/2025,685,110923                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,12.0
96,6010010112               ,       CDVM,9/27/2025,702,280923                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,1980.0
97,6010010112               ,    CDCDCF1,9/19/2025,694,190923                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,1570.0
98,6010010112               ,    CDCDCO1,8/15/2024,294,160822                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,0.0
99,6010010112               ,    CDCDCO1,9/11/2024,321,120922                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,0.0
100,6010010112               ,    CDCDCO1,12/21/2024,422,221222                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,0.0
101,6010010112               ,    CDCDCO1,2/6/2025,469,060223                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,0.0
102,6010010112               ,    CDCDCO1,2/22/2025,485,210223                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,236.0
103,6010010112               ,    CDCDCO1,5/3/2025,555,040523                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,360.0
104,6010010112               ,    CDCDCO1,6/20/2025,603,170623                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,1440.0
105,6010010112               ,    CDCDCO1,6/26/2025,609,270623                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,419.0
106,6010010112               ,    CDCDCO1,7/25/2025,638,250723                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,0.0
107,6010010112               ,    CDCDCO1,8/16/2025,660,170823                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,300.0
108,6010010112               ,    CDCDCO1,9/10/2025,685,110923                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,2880.0
109,6010010112               ,    CDCDCO1,9/27/2025,702,280923                        ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",60,1440.0
110,6010010184               ,       CDGD,9/16/2024,326,170922                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,80.0
111,6010010184               ,       CDGD,10/14/2024,354,161022                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,160.0
112,6010010184               ,       CDGD,12/14/2024,415,151222                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,183.0
113,6010010184               ,       CDVM,7/12/2024,260,120722                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,0.0
114,6010010184               ,       CDVM,11/1/2024,372,021122                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,94.0
115,6010010184               ,       CDVM,12/14/2024,415,151222                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,360.0
116,6010010184               ,    CDCDCF1,9/16/2024,326,170922                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,4.0
117,6010010184               ,    CDCDCO1,9/16/2024,326,170922                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,0.0
118,6010010184               ,    CDCDCO1,10/14/2024,354,161022                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,0.0
119,6010010184               ,    CDCDCO1,11/1/2024,372,021122                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,0.0
120,6010010184               ,    CDCDCO1,12/14/2024,415,151222                        ,"AC,NATURA,GIR,12X500ML,C,ESP,M.I.",160,0.0
121,6010020199               ,       CDGD,9/9/2024,319,100922                        ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",60,79.0
122,6010020199               ,       CDGD,10/1/2024,341,031022                        ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",60,720.0
123,6010020199               ,    CDCDCO1,9/9/2024,319,100922                        ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",60,60.0
124,6010020204               ,       CDGD,8/25/2025,669,250823                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,5.0
125,6010020204               ,       CDGD,10/8/2025,713,091023                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,480.0
126,6010020204               ,       CDVM,4/5/2025,527,060423                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
127,6010020204               ,    CDCDCO1,10/18/2024,358,191022                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
128,6010020204               ,    CDCDCO1,12/2/2024,403,011222                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
129,6010020204               ,    CDCDCO1,12/19/2024,420,201222                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
130,6010020204               ,    CDCDCO1,2/2/2025,465,020223                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
131,6010020204               ,    CDCDCO1,2/15/2025,478,150223                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
132,6010020204               ,    CDCDCO1,2/27/2025,490,270223                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
133,6010020204               ,    CDCDCO1,3/14/2025,505,110323                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
134,6010020204               ,    CDCDCO1,4/5/2025,527,060423                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
135,6010020204               ,    CDCDCO1,5/2/2025,554,020523                        ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",60,0.0
