,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Cajas Solicitadas,Pallets Solicitados
95,SD,660859,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",274066,84.0,0.323077
96,SD,660859,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",274066,20.0,0.076923
97,SD,660929,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",331183,68.0,0.25
98,SD,660938,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",331183,266.0,0.977941
99,SD,660939,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",248095,72.0,0.5
100,SD,660939,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",248095,272.0,1.0
101,SD,660997,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",242156,200.0,0.735294
102,SD,660997,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",242156,200.0,1.851852
103,SD,660998,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",280890,260.0,1.0
104,SD,661017,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",225582,40.0,0.153846
105,SD,661018,6030330002,"MAYO,CADA DIA,LIGHT,12,500 CC,DP,CT (CON TAPA),ESP",319406,72.0,0.5
106,SD,661019,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",319406,144.0,1.0
107,SD,661021,6090020009,"MOSTAZA,ADEREZO NATURA,12,250 GR,DP,CT,ESP,M.I.   ",241227,120.0,0.461538
108,SD,661034,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",277494,136.0,0.5
109,SD,661034,6050100002,"SGOLF,NATURA,20,125 CC,SH,ST,ESP,M.I.             ",277494,170.0,0.625
110,SD,661039,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",335857,377.0,1.0
111,SD,661039,6040100003,"KET,NATURA,4,3000GR,SH,ST,ESP,M.I.                ",335857,20.0,0.25
112,SD,661039,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",335857,80.0,1.0
113,SD,661039,6090020010,"MOSTAZA,ADEREZO NATURA,192,8 G,SH,ST,ESP,M.I.     ",335857,174.0,0.461538
114,SD,661039,6090020012,"MOSTAZA,ADEREZO NATURA,4,3000GR,SH,ST,ESP,M.I.    ",335857,20.0,0.25
